STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,BURGLARY,THEFT,RIOTS,ROBBERY,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES
ANDHRA PRADESH,ADILABAD,2001,101,50,46,9,198,199,78,41,16,149,0
ANDHRA PRADESH,ANANTAPUR,2001,151,23,53,8,191,366,168,16,7,118,0
ANDHRA PRADESH,CHITTOOR,2001,101,27,59,4,237,723,156,14,14,112,0
ANDHRA PRADESH,CUDDAPAH,2001,80,20,25,1,98,173,164,4,17,126,0
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,49,4,437,1021,70,25,12,109,0
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,0,5,0,162,1,2,0,1,0
ANDHRA PRADESH,GUNTUR,2001,182,54,82,16,338,1122,244,59,7,139,0
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,80,13,1155,2792,65,67,24,118,0
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,67,27,218,392,220,50,62,414,0
ANDHRA PRADESH,KHAMMAM,2001,93,47,41,1,172,368,153,13,17,180,0
ANDHRA PRADESH,KRISHNA,2001,65,37,36,3,163,478,70,15,10,208,0
ANDHRA PRADESH,KURNOOL,2001,133,29,47,6,155,297,84,22,13,141,0
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,42,8,249,316,157,27,14,176,0
ANDHRA PRADESH,MEDAK,2001,101,35,26,27,219,286,100,26,26,100,0
ANDHRA PRADESH,NALGONDA,2001,122,35,27,6,133,318,220,28,31,188,0
ANDHRA PRADESH,NELLORE,2001,89,46,90,12,244,608,97,16,10,207,0
ANDHRA PRADESH,NIZAMABAD,2001,106,21,38,7,158,234,51,22,19,55,0
ANDHRA PRADESH,PRAKASHAM,2001,102,19,31,15,147,278,138,14,5,140,0
ANDHRA PRADESH,RANGA REDDY,2001,214,72,106,24,1076,1296,65,78,37,113,7
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,0,2,296,1,10,1,0,0
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,12,1,118,231,70,4,6,38,0
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,70,3,491,2057,19,27,2,84,0
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,0,0,265,1,1,0,1,0
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,12,4,76,165,138,3,3,67,0
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,13,1,323,630,9,5,0,33,0
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,8,0,99,144,36,2,0,40,0
ANDHRA PRADESH,WARANGAL,2001,158,53,81,2,266,418,330,23,52,241,0
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,41,7,257,1116,96,15,15,246,0
ANDHRA PRADESH,TOTAL,2001,2602,871,1182,214,7220,16751,3001,629,420,3544,7
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,3,3,18,24,0,4,0,3,0
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,2,4,2,18,19,0,5,0,4,0
ARUNACHAL PRADESH,KAMENG EAST,2001,3,2,7,1,8,26,0,6,0,5,0
ARUNACHAL PRADESH,KAMENG WEST,2001,4,0,2,1,6,26,0,0,0,0,0
ARUNACHAL PRADESH,LOHIT,2001,16,2,6,2,20,31,3,8,0,8,0
ARUNACHAL PRADESH,PAPUM PARE,2001,11,9,15,4,59,109,9,29,0,6,0
ARUNACHAL PRADESH,SIANG EAST,2001,7,5,11,4,25,52,1,8,0,7,0
ARUNACHAL PRADESH,SIANG UPPER,2001,1,2,5,0,5,9,1,0,0,3,0
ARUNACHAL PRADESH,SIANG WEST,2001,5,4,17,1,34,72,2,10,0,25,0
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,2,6,1,17,25,5,7,0,4,0
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,2,1,3,17,20,2,5,0,8,0
ARUNACHAL PRADESH,TAWANG,2001,2,1,0,0,3,13,0,0,0,5,0
ARUNACHAL PRADESH,TIRAP,2001,8,1,6,0,18,17,1,2,0,0,0
ARUNACHAL PRADESH,TOTAL,2001,83,33,83,22,248,443,24,84,0,78,0
ASSAM,BARPETA,2001,64,28,105,43,93,187,196,45,10,29,0
ASSAM,BONGAIGAON,2001,45,20,36,13,87,92,87,25,1,22,0
ASSAM,C.I.D.,2001,0,0,0,0,0,1,0,0,0,0,0
ASSAM,CACHAR,2001,52,45,104,29,189,359,533,42,7,80,0
ASSAM,DARRANG,2001,61,48,64,21,111,185,100,29,9,56,0
ASSAM,DHEMAJI,2001,15,42,31,2,26,79,13,12,0,26,0
ASSAM,DHUBRI,2001,65,43,69,53,79,83,402,19,5,49,0
ASSAM,DIBRUGARH,2001,110,35,57,14,114,325,21,29,3,41,0
